deal_id,account_id,owner_agent_id,created_at,closed_at,stage,amount,segment,loss_reason,source,handover_complete,special_requirements_issue
DL00285,AC0109,A055,2026-02-08,2026-04-11,Closed Lost,20000,SMB,Price,Inbound,,
DL00286,AC0078,A049,2026-07-12,,Proposal,24000,SMB,,Partner,,
DL00287,AC0038,A047,2025-11-16,2026-01-14,Closed Won,54000,Mid-Market,,Partner,True,Formatting mismatch
DL00288,AC0036,A046,2026-07-04,2026-08-31,Closed Lost,163000,Enterprise,Unqualified,Outbound,,
DL00289,AC0023,A052,2026-06-17,2026-07-12,Closed Won,50000,Mid-Market,,Referral,True,
DL00290,AC0027,A056,2026-03-16,2026-05-03,Closed Lost,105000,Enterprise,Unqualified,Paid Search,,
DL00291,AC0036,A051,2025-10-21,,Discovery,14000,SMB,,Outbound,,
DL00292,AC0042,A056,2026-03-13,2026-06-05,Closed Lost,9000,SMB,Price,Inbound,,
DL00293,AC0076,A045,2025-10-20,2025-12-02,Closed Lost,31000,Mid-Market,Missing Feature,Paid Search,,
DL00294,AC0036,A049,2026-07-02,2026-09-19,Closed Lost,44000,Mid-Market,Missing Feature,Inbound,,
DL00295,AC0116,A056,2026-06-01,,Negotiation,8000,SMB,,Inbound,,
DL00296,AC0057,A056,2026-02-16,2026-03-30,Closed Won,23000,SMB,,Referral,True,Missing structured value
DL00297,AC0024,A045,2026-07-08,2026-10-01,Closed Lost,46000,Mid-Market,No Decision,Outbound,,
DL00298,AC0096,A050,2026-07-09,,Discovery,13000,SMB,,Referral,,
DL00299,AC0093,A043,2025-11-07,2025-11-28,Closed Lost,41000,Mid-Market,Unqualified,Partner,,
DL00300,AC0041,A053,2026-03-05,2026-04-16,Closed Won,15000,SMB,,Partner,True,
DL00301,AC0145,A043,2026-02-09,2026-04-24,Closed Lost,64000,Mid-Market,No Decision,Referral,,
DL00302,AC0036,A046,2025-12-20,2026-01-13,Closed Lost,19000,SMB,Timing,Outbound,,
DL00303,AC0142,A040,2026-01-28,2026-03-14,Closed Lost,180000,Enterprise,Unqualified,Partner,,
DL00304,AC0026,A041,2026-08-19,2026-09-14,Closed Won,24000,SMB,,Paid Search,True,
DL00305,AC0074,A055,2025-10-03,2025-11-29,Closed Won,13000,SMB,,Inbound,True,
DL00306,AC0021,A042,2026-04-20,,Negotiation,11000,SMB,,Inbound,,
DL00307,AC0036,A052,2025-09-05,2025-10-16,Closed Lost,16000,SMB,No Decision,Inbound,,
DL00308,AC0013,A052,2026-05-08,2026-07-13,Closed Lost,41000,Mid-Market,Timing,Partner,,
DL00309,AC0002,A047,2025-09-16,,Qualified,42000,Mid-Market,,Outbound,,
DL00310,AC0040,A055,2025-11-11,2025-12-31,Closed Lost,26000,Mid-Market,Missing Feature,Partner,,
DL00311,AC0131,A049,2025-11-07,2025-11-27,Closed Won,37000,Mid-Market,,Inbound,True,
DL00312,AC0082,A053,2025-11-01,2025-12-31,Closed Lost,172000,Enterprise,No Decision,Paid Search,,
DL00313,AC0088,A056,2026-07-09,,Negotiation,101000,Enterprise,,Outbound,,
DL00314,AC0131,A055,2026-08-12,2026-10-02,Closed Won,10000,SMB,,Inbound,False,Missing structured value
DL00315,AC0064,A046,2025-12-10,2026-02-06,Closed Won,15000,SMB,,Referral,True,
DL00316,AC0014,A050,2026-03-07,2026-05-23,Closed Lost,27000,Mid-Market,Timing,Paid Search,,
DL00317,AC0114,A040,2025-10-27,2025-12-07,Closed Won,89000,Enterprise,,Paid Search,False,Free-text / field quality issue
DL00318,AC0128,A039,2025-11-24,,Proposal,10000,SMB,,Inbound,,
DL00319,AC0064,A052,2025-11-16,,Qualified,58000,Mid-Market,,Referral,,
DL00320,AC0042,A045,2026-02-04,2026-03-25,Closed Lost,175000,Enterprise,Timing,Partner,,
DL00321,AC0128,A042,2026-06-06,2026-07-16,Closed Won,17000,SMB,,Outbound,True,
DL00322,AC0078,A039,2025-09-11,2025-11-24,Closed Won,23000,SMB,,Referral,True,
DL00323,AC0113,A045,2026-01-31,2026-03-08,Closed Lost,10000,SMB,Competitor,Partner,,
DL00324,AC0072,A048,2025-12-09,2026-01-25,Closed Won,14000,SMB,,Referral,True,
DL00325,AC0128,A049,2025-10-07,2025-11-03,Closed Won,37000,Mid-Market,,Referral,True,
DL00326,AC0035,A051,2026-04-16,2026-06-15,Closed Won,8000,SMB,,Inbound,True,
DL00327,AC0094,A054,2026-07-02,2026-08-08,Closed Won,141000,Enterprise,,Referral,True,
DL00328,AC0055,A048,2025-10-12,,Proposal,60000,Mid-Market,,Partner,,
DL00329,AC0110,A048,2025-12-16,,Proposal,51000,Mid-Market,,Partner,,
DL00330,AC0125,A047,2026-04-05,,Proposal,133000,Enterprise,,Outbound,,
DL00331,AC0112,A056,2026-08-12,,Discovery,44000,Mid-Market,,Paid Search,,
DL00332,AC0149,A055,2026-01-15,,Proposal,142000,Enterprise,,Paid Search,,
DL00333,AC0085,A045,2026-04-13,,Negotiation,14000,SMB,,Referral,,
DL00334,AC0009,A050,2026-08-03,2026-08-20,Closed Lost,11000,SMB,Unqualified,Referral,,
DL00335,AC0047,A051,2025-12-05,,Proposal,17000,SMB,,Partner,,
DL00336,AC0038,A040,2025-09-20,,Qualified,63000,Mid-Market,,Partner,,
DL00337,AC0047,A048,2026-05-15,2026-07-27,Closed Won,81000,Enterprise,,Partner,True,
DL00338,AC0070,A054,2026-03-19,2026-05-08,Closed Lost,80000,Enterprise,Procurement,Outbound,,
DL00339,AC0071,A055,2026-06-19,,Negotiation,56000,Mid-Market,,Referral,,
DL00340,AC0082,A054,2026-07-02,2026-09-23,Closed Lost,102000,Enterprise,Price,Referral,,
DL00341,AC0087,A055,2026-04-22,2026-05-19,Closed Lost,64000,Mid-Market,Missing Feature,Referral,,
DL00342,AC0143,A055,2026-08-21,,Qualified,34000,Mid-Market,,Partner,,
DL00343,AC0033,A046,2026-02-08,2026-04-21,Closed Lost,58000,Mid-Market,Price,Outbound,,
DL00344,AC0063,A048,2025-10-30,2025-12-05,Closed Lost,11000,SMB,Competitor,Paid Search,,
DL00345,AC0062,A048,2026-08-14,2026-10-17,Closed Won,45000,Mid-Market,,Paid Search,True,
DL00346,AC0081,A048,2025-12-18,2026-02-04,Closed Won,43000,Mid-Market,,Outbound,True,
DL00347,AC0125,A055,2025-12-01,2026-01-27,Closed Lost,47000,Mid-Market,Procurement,Partner,,
DL00348,AC0023,A046,2026-03-14,,Negotiation,17000,SMB,,Paid Search,,
DL00349,AC0056,A042,2025-10-18,,Negotiation,113000,Enterprise,,Outbound,,
DL00350,AC0066,A045,2026-08-04,2026-10-05,Closed Won,94000,Enterprise,,Referral,,
DL00351,AC0131,A054,2026-05-22,2026-06-10,Closed Lost,16000,SMB,Missing Feature,Inbound,,
DL00352,AC0147,A044,2026-06-02,2026-08-11,Closed Won,15000,SMB,,Referral,True,Missing structured value
DL00353,AC0094,A044,2025-10-26,,Negotiation,113000,Enterprise,,Paid Search,,
DL00354,AC0030,A041,2026-08-09,2026-09-06,Closed Lost,45000,Mid-Market,Price,Outbound,,
DL00355,AC0106,A045,2026-07-04,2026-08-14,Closed Won,59000,Mid-Market,,Partner,True,
DL00356,AC0004,A041,2025-11-09,,Negotiation,136000,Enterprise,,Paid Search,,
DL00357,AC0099,A039,2025-10-07,,Negotiation,8000,SMB,,Referral,,
DL00358,AC0109,A045,2026-06-01,,Discovery,58000,Mid-Market,,Inbound,,
DL00359,AC0020,A043,2025-11-29,,Discovery,13000,SMB,,Referral,,
DL00360,AC0001,A042,2025-12-29,2026-01-19,Closed Lost,52000,Mid-Market,Price,Referral,,
DL00361,AC0058,A055,2026-02-06,2026-03-19,Closed Lost,14000,SMB,Competitor,Outbound,,
DL00362,AC0097,A053,2026-02-11,2026-03-23,Closed Lost,60000,Mid-Market,Price,Paid Search,,
DL00363,AC0007,A050,2026-01-01,2026-03-14,Closed Won,10000,SMB,,Outbound,True,
DL00364,AC0012,A040,2026-01-29,,Proposal,9000,SMB,,Inbound,,
DL00365,AC0093,A054,2026-07-13,2026-10-08,Closed Lost,45000,Mid-Market,Unqualified,Outbound,,
DL00366,AC0094,A048,2026-07-18,2026-09-22,Closed Lost,25000,SMB,Unqualified,Inbound,,
DL00367,AC0004,A045,2025-12-21,,Negotiation,14000,SMB,,Outbound,,
DL00368,AC0018,A041,2026-06-23,2026-08-20,Closed Won,31000,Mid-Market,,Referral,True,
DL00369,AC0055,A040,2025-10-23,,Discovery,18000,SMB,,Outbound,,
DL00370,AC0136,A052,2026-03-24,2026-05-25,Closed Lost,38000,Mid-Market,No Decision,Outbound,,
DL00371,AC0035,A050,2025-10-21,2026-01-05,Closed Lost,10000,SMB,Timing,Partner,,
DL00372,AC0014,A049,2025-09-24,,Negotiation,18000,SMB,,Referral,,
DL00373,AC0081,A040,2025-12-07,2025-12-25,Closed Lost,60000,Mid-Market,No Decision,Referral,,
DL00374,AC0117,A047,2025-12-27,2026-02-10,Closed Lost,129000,Enterprise,Competitor,Referral,,
DL00375,AC0010,A041,2025-09-15,,Discovery,9000,SMB,,Paid Search,,
DL00376,AC0074,A056,2026-02-08,2026-04-06,Closed Won,8000,SMB,,Outbound,True,
DL00377,AC0021,A047,2025-11-27,2026-01-24,Closed Won,18000,SMB,,Outbound,True,
DL00378,AC0001,A051,2026-06-05,2026-07-11,Closed Lost,16000,SMB,Price,Partner,,
DL00379,AC0130,A042,2025-12-17,,Qualified,63000,Mid-Market,,Outbound,,
DL00380,AC0096,A043,2026-05-06,2026-05-31,Closed Lost,16000,SMB,Missing Feature,Outbound,,
DL00381,AC0084,A044,2026-01-21,2026-02-18,Closed Lost,16000,SMB,Price,Inbound,,
DL00382,AC0016,A043,2026-05-12,2026-06-14,Closed Won,57000,Mid-Market,,Inbound,True,
DL00383,AC0093,A052,2025-11-30,2026-01-28,Closed Won,34000,Mid-Market,,Paid Search,False,Free-text / field quality issue
DL00384,AC0060,A055,2026-07-30,,Qualified,65000,Enterprise,,Outbound,,
DL00385,AC0036,A055,2026-08-22,,Negotiation,60000,Mid-Market,,Referral,,
DL00386,AC0122,A056,2025-11-07,2025-12-29,Closed Lost,13000,SMB,Missing Feature,Paid Search,,
DL00387,AC0119,A042,2026-04-25,,Proposal,35000,Mid-Market,,Partner,,
DL00388,AC0026,A051,2026-07-15,,Discovery,8000,SMB,,Inbound,,
DL00389,AC0104,A054,2026-06-24,2026-08-26,Closed Lost,58000,Mid-Market,Unqualified,Paid Search,,
DL00390,AC0113,A044,2025-09-21,2025-11-09,Closed Won,49000,Mid-Market,,Paid Search,True,
DL00391,AC0036,A046,2025-09-03,2025-09-22,Closed Lost,53000,Mid-Market,Procurement,Inbound,,
DL00392,AC0017,A039,2025-12-23,2026-01-23,Closed Won,54000,Mid-Market,,Paid Search,True,
DL00393,AC0042,A048,2025-09-11,2025-11-30,Closed Lost,188000,Enterprise,Competitor,Inbound,,
DL00394,AC0131,A056,2026-04-01,2026-06-28,Closed Lost,33000,Mid-Market,Competitor,Paid Search,,
DL00395,AC0098,A042,2025-09-30,2025-11-06,Closed Won,28000,Mid-Market,,Outbound,True,
DL00396,AC0010,A049,2026-04-12,2026-06-09,Closed Won,45000,Mid-Market,,Inbound,True,
DL00397,AC0104,A045,2026-05-27,2026-06-20,Closed Won,166000,Enterprise,,Partner,True,
DL00398,AC0113,A056,2026-05-02,,Qualified,43000,Mid-Market,,Inbound,,
DL00399,AC0108,A045,2026-05-02,2026-07-22,Closed Lost,15000,SMB,Price,Inbound,,
DL00400,AC0080,A055,2025-12-03,2026-01-18,Closed Won,117000,Enterprise,,Paid Search,True,
DL00401,AC0141,A041,2026-05-31,,Discovery,16000,SMB,,Partner,,
DL00402,AC0102,A053,2026-07-26,2026-09-02,Closed Won,188000,Enterprise,,Partner,,
DL00403,AC0007,A045,2026-04-22,,Proposal,20000,SMB,,Outbound,,
DL00404,AC0019,A042,2026-05-07,2026-08-03,Closed Lost,38000,Mid-Market,Missing Feature,Referral,,
DL00405,AC0094,A053,2026-04-09,,Negotiation,19000,SMB,,Referral,,
DL00406,AC0140,A041,2026-02-11,,Qualified,19000,SMB,,Inbound,,
DL00407,AC0071,A056,2026-01-01,,Negotiation,131000,Enterprise,,Referral,,
DL00408,AC0148,A055,2026-01-29,2026-03-30,Closed Lost,19000,SMB,Competitor,Paid Search,,
DL00409,AC0130,A054,2026-07-23,2026-08-24,Closed Won,33000,Mid-Market,,Partner,True,
DL00410,AC0116,A040,2026-01-20,2026-02-21,Closed Won,17000,SMB,,Outbound,True,
DL00411,AC0140,A049,2026-02-18,,Negotiation,135000,Enterprise,,Inbound,,
DL00412,AC0128,A056,2026-08-27,,Discovery,55000,Mid-Market,,Inbound,,
DL00413,AC0025,A047,2025-11-22,2026-02-02,Closed Lost,51000,Mid-Market,No Decision,Referral,,
DL00414,AC0069,A056,2025-10-20,2025-11-19,Closed Lost,36000,Mid-Market,Timing,Outbound,,
DL00415,AC0044,A040,2025-12-23,2026-02-13,Closed Lost,38000,Mid-Market,No Decision,Partner,,
DL00416,AC0095,A051,2025-11-13,2026-02-03,Closed Lost,42000,Mid-Market,Timing,Paid Search,,
DL00417,AC0027,A048,2025-11-20,2025-12-12,Closed Lost,55000,Mid-Market,Price,Referral,,
DL00418,AC0102,A043,2026-02-23,,Qualified,31000,Mid-Market,,Referral,,
DL00419,AC0148,A044,2026-04-17,2026-05-28,Closed Lost,27000,Mid-Market,No Decision,Partner,,
DL00420,AC0014,A054,2025-10-31,2025-12-13,Closed Won,9000,SMB,,Outbound,True,
DL00421,AC0044,A049,2025-10-13,2025-12-13,Closed Won,61000,Mid-Market,,Outbound,True,
DL00422,AC0038,A043,2026-07-17,2026-09-02,Closed Lost,11000,SMB,Unqualified,Outbound,,
DL00423,AC0111,A040,2025-10-10,2025-11-01,Closed Won,38000,Mid-Market,,Inbound,True,
DL00424,AC0013,A049,2025-12-08,2026-02-10,Closed Lost,19000,SMB,Unqualified,Partner,,
DL00425,AC0019,A050,2026-04-09,2026-04-26,Closed Lost,17000,SMB,Price,Partner,,
DL00426,AC0036,A043,2025-09-07,,Proposal,46000,Mid-Market,,Referral,,
DL00427,AC0092,A049,2025-10-29,,Proposal,36000,Mid-Market,,Inbound,,
DL00428,AC0064,A039,2026-03-20,2026-05-19,Closed Won,62000,Mid-Market,,Referral,True,
DL00429,AC0006,A044,2026-05-13,2026-07-07,Closed Lost,41000,Mid-Market,Unqualified,Outbound,,
DL00430,AC0017,A040,2025-10-11,2025-11-25,Closed Won,13000,SMB,,Referral,True,
DL00431,AC0078,A042,2025-12-04,2025-12-30,Closed Won,40000,Mid-Market,,Inbound,True,
DL00432,AC0060,A041,2025-12-31,2026-03-15,Closed Won,14000,SMB,,Outbound,True,
DL00433,AC0088,A054,2026-06-03,2026-08-12,Closed Won,18000,SMB,,Paid Search,True,
DL00434,AC0109,A051,2025-09-20,,Qualified,11000,SMB,,Outbound,,
DL00435,AC0009,A042,2025-12-22,,Proposal,77000,Enterprise,,Inbound,,
DL00436,AC0132,A054,2025-11-23,,Negotiation,153000,Enterprise,,Inbound,,
DL00437,AC0051,A049,2026-05-28,,Qualified,8000,SMB,,Paid Search,,
DL00438,AC0149,A042,2026-02-20,2026-04-20,Closed Lost,136000,Enterprise,Missing Feature,Outbound,,
DL00439,AC0038,A043,2026-03-30,2026-05-20,Closed Lost,57000,Mid-Market,No Decision,Referral,,
DL00440,AC0081,A052,2026-06-28,,Qualified,68000,Enterprise,,Outbound,,
DL00441,AC0005,A046,2025-12-22,,Proposal,9000,SMB,,Outbound,,
DL00442,AC0132,A040,2026-03-13,,Discovery,10000,SMB,,Paid Search,,
DL00443,AC0039,A043,2025-12-20,2026-01-05,Closed Lost,63000,Mid-Market,No Decision,Paid Search,,
DL00444,AC0056,A049,2026-03-17,2026-05-29,Closed Lost,135000,Enterprise,Price,Referral,,
DL00445,AC0094,A051,2026-05-26,2026-07-24,Closed Lost,176000,Enterprise,Competitor,Paid Search,,
DL00446,AC0148,A056,2025-10-05,2025-11-12,Closed Won,13000,SMB,,Inbound,False,Free-text / field quality issue
DL00447,AC0103,A052,2026-01-26,2026-04-02,Closed Lost,171000,Enterprise,Timing,Outbound,,
DL00448,AC0061,A054,2026-01-09,,Qualified,147000,Enterprise,,Paid Search,,
DL00449,AC0053,A054,2026-02-12,2026-03-29,Closed Won,35000,Mid-Market,,Inbound,True,
DL00450,AC0123,A051,2026-01-22,2026-03-26,Closed Lost,46000,Mid-Market,No Decision,Paid Search,,
DL00451,AC0108,A049,2026-04-04,2026-06-24,Closed Lost,13000,SMB,Unqualified,Outbound,,
DL00452,AC0150,A049,2025-09-06,2025-10-22,Closed Won,176000,Enterprise,,Paid Search,True,
DL00453,AC0006,A053,2026-05-09,2026-06-07,Closed Lost,25000,Mid-Market,Unqualified,Partner,,
DL00454,AC0020,A050,2026-07-17,2026-09-10,Closed Won,52000,Mid-Market,,Partner,True,
DL00455,AC0075,A041,2026-05-09,2026-06-01,Closed Won,111000,Enterprise,,Partner,True,
DL00456,AC0114,A047,2025-12-11,2026-01-30,Closed Lost,51000,Mid-Market,Competitor,Partner,,
DL00457,AC0042,A052,2026-03-16,,Proposal,26000,Mid-Market,,Outbound,,
DL00458,AC0068,A043,2026-04-14,2026-06-09,Closed Lost,11000,SMB,Timing,Paid Search,,
DL00459,AC0048,A052,2025-11-28,2026-01-26,Closed Lost,10000,SMB,Missing Feature,Inbound,,
DL00460,AC0049,A056,2026-07-17,2026-08-08,Closed Lost,55000,Mid-Market,Unqualified,Outbound,,
DL00461,AC0025,A053,2026-05-27,2026-06-29,Closed Lost,39000,Mid-Market,Missing Feature,Paid Search,,
DL00462,AC0033,A043,2025-10-09,2025-11-22,Closed Won,13000,SMB,,Paid Search,True,
DL00463,AC0075,A047,2026-07-18,,Discovery,135000,Enterprise,,Partner,,
DL00464,AC0044,A047,2026-02-03,2026-04-10,Closed Won,15000,SMB,,Partner,True,Formatting mismatch
DL00465,AC0047,A055,2026-05-18,2026-07-10,Closed Lost,21000,SMB,Unqualified,Paid Search,,
DL00466,AC0016,A055,2026-04-04,2026-05-19,Closed Won,9000,SMB,,Inbound,True,
DL00467,AC0081,A054,2025-12-30,2026-02-11,Closed Lost,19000,SMB,Price,Partner,,
DL00468,AC0040,A052,2025-12-31,2026-02-02,Closed Won,24000,SMB,,Partner,True,
DL00469,AC0041,A039,2025-11-05,,Negotiation,60000,Mid-Market,,Partner,,
DL00470,AC0072,A048,2026-05-16,,Negotiation,170000,Enterprise,,Referral,,
DL00471,AC0142,A056,2026-01-11,2026-02-01,Closed Lost,184000,Enterprise,Unqualified,Paid Search,,
DL00472,AC0114,A039,2025-09-05,2025-11-27,Closed Lost,53000,Mid-Market,Price,Paid Search,,
DL00473,AC0039,A056,2026-04-09,2026-06-16,Closed Lost,8000,SMB,Price,Paid Search,,
DL00474,AC0023,A046,2026-02-09,,Discovery,38000,Mid-Market,,Referral,,
DL00475,AC0093,A045,2026-06-29,2026-07-24,Closed Won,62000,Mid-Market,,Referral,True,
DL00476,AC0032,A056,2026-06-24,2026-08-27,Closed Lost,26000,Mid-Market,Unqualified,Referral,,
DL00477,AC0044,A056,2026-03-04,2026-05-03,Closed Lost,19000,SMB,Timing,Outbound,,
DL00478,AC0069,A047,2026-05-24,2026-06-22,Closed Won,116000,Enterprise,,Inbound,True,
DL00479,AC0117,A053,2025-11-05,,Negotiation,61000,Mid-Market,,Inbound,,
DL00480,AC0066,A055,2025-12-29,,Qualified,21000,SMB,,Inbound,,
DL00481,AC0078,A055,2026-07-27,2026-10-05,Closed Lost,45000,Mid-Market,Timing,Partner,,
DL00482,AC0136,A052,2025-09-21,2025-10-22,Closed Won,52000,Mid-Market,,Partner,True,
DL00483,AC0129,A045,2026-07-29,2026-08-26,Closed Lost,85000,Enterprise,Price,Referral,True,
DL00484,AC0006,A051,2026-07-24,,Discovery,30000,Mid-Market,,Paid Search,,
DL00485,AC0042,A054,2026-07-03,2026-07-23,Closed Lost,19000,SMB,No Decision,Inbound,,
DL00486,AC0015,A044,2026-08-07,2026-10-18,Closed Won,39000,Mid-Market,,Referral,False,Integration mapping error
DL00487,AC0104,A052,2025-09-27,,Qualified,17000,SMB,,Inbound,,
DL00488,AC0116,A047,2026-06-25,2026-08-08,Closed Won,21000,SMB,,Paid Search,True,
DL00489,AC0056,A047,2026-01-19,,Proposal,145000,Enterprise,,Paid Search,,
DL00490,AC0102,A055,2026-07-15,2026-10-05,Closed Lost,45000,Mid-Market,Missing Feature,Paid Search,,
DL00491,AC0043,A040,2026-05-10,2026-05-26,Closed Lost,57000,Mid-Market,Timing,Outbound,,
DL00492,AC0081,A043,2026-03-29,2026-05-06,Closed Won,80000,Enterprise,,Outbound,True,
DL00493,AC0031,A055,2026-08-08,,Proposal,10000,SMB,,Paid Search,,
DL00494,AC0018,A042,2026-03-18,2026-05-24,Closed Lost,100000,Enterprise,Price,Partner,,
DL00495,AC0020,A042,2026-04-22,2026-05-30,Closed Lost,64000,Mid-Market,Price,Partner,,
DL00496,AC0134,A046,2026-01-13,,Negotiation,20000,SMB,,Outbound,,
DL00497,AC0010,A054,2026-07-27,2026-08-31,Closed Lost,39000,Mid-Market,Unqualified,Partner,,
DL00498,AC0124,A052,2026-07-21,2026-09-23,Closed Lost,145000,Enterprise,No Decision,Partner,,
DL00499,AC0024,A049,2026-01-27,,Negotiation,27000,Mid-Market,,Referral,,
DL00500,AC0017,A053,2025-09-28,2025-12-12,Closed Lost,40000,Mid-Market,Timing,Inbound,,
DL00501,AC0033,A043,2026-02-18,2026-03-30,Closed Won,12000,SMB,,Outbound,True,
DL00502,AC0079,A049,2026-08-19,2026-10-16,Closed Lost,16000,SMB,Price,Inbound,,
DL00503,AC0009,A054,2025-10-21,2025-12-05,Closed Won,8000,SMB,,Partner,True,
DL00504,AC0140,A041,2025-09-21,,Negotiation,179000,Enterprise,,Paid Search,,
DL00505,AC0011,A053,2026-01-13,2026-02-03,Closed Won,10000,SMB,,Inbound,True,
DL00506,AC0049,A047,2025-12-25,2026-02-25,Closed Won,25000,SMB,,Partner,False,Free-text / field quality issue
DL00507,AC0112,A040,2026-03-27,,Negotiation,47000,Mid-Market,,Outbound,,
DL00508,AC0058,A052,2026-05-03,2026-06-12,Closed Lost,136000,Enterprise,No Decision,Partner,,
DL00509,AC0081,A041,2026-01-22,2026-03-09,Closed Lost,16000,SMB,Procurement,Outbound,,
DL00510,AC0060,A056,2026-02-19,,Negotiation,24000,SMB,,Paid Search,,
DL00511,AC0088,A053,2026-08-18,,Proposal,42000,Mid-Market,,Referral,,
DL00512,AC0058,A039,2025-12-14,,Negotiation,60000,Mid-Market,,Paid Search,,
DL00513,AC0010,A054,2025-09-24,2025-10-11,Closed Lost,48000,Mid-Market,Price,Partner,,
DL00514,AC0124,A056,2026-05-16,2026-07-16,Closed Lost,13000,SMB,Price,Inbound,,
DL00515,AC0077,A049,2025-12-10,2026-01-22,Closed Lost,15000,SMB,Price,Referral,,
DL00516,AC0058,A042,2026-05-09,,Proposal,88000,Enterprise,,Inbound,,
DL00517,AC0037,A047,2026-01-20,2026-02-28,Closed Won,76000,Enterprise,,Outbound,True,
DL00518,AC0004,A040,2026-02-05,,Qualified,14000,SMB,,Outbound,,
DL00519,AC0150,A040,2026-01-19,2026-03-02,Closed Won,60000,Mid-Market,,Inbound,True,
DL00520,AC0027,A051,2025-12-01,,Discovery,24000,SMB,,Partner,,
DL00521,AC0081,A042,2026-04-23,,Discovery,23000,SMB,,Partner,,
DL00522,AC0090,A043,2025-09-19,,Negotiation,14000,SMB,,Referral,,
DL00523,AC0084,A040,2026-05-09,2026-07-26,Closed Lost,28000,Mid-Market,No Decision,Partner,,
DL00524,AC0071,A050,2026-08-26,2026-10-09,Closed Lost,20000,SMB,Competitor,Referral,,
DL00525,AC0125,A049,2026-07-31,,Discovery,8000,SMB,,Outbound,,
DL00526,AC0088,A054,2026-06-24,,Discovery,55000,Mid-Market,,Inbound,,
DL00527,AC0030,A053,2026-06-11,2026-07-30,Closed Lost,22000,SMB,Price,Partner,,
DL00528,AC0093,A050,2025-12-15,2026-01-21,Closed Lost,112000,Enterprise,Timing,Referral,,
DL00529,AC0023,A056,2025-11-16,2026-01-19,Closed Lost,27000,Mid-Market,No Decision,Paid Search,,
DL00530,AC0088,A049,2026-04-30,2026-06-08,Closed Lost,25000,SMB,Timing,Partner,,
DL00531,AC0018,A049,2025-09-03,2025-10-15,Closed Lost,18000,SMB,No Decision,Referral,,
DL00532,AC0067,A049,2026-05-07,2026-07-17,Closed Lost,17000,SMB,Timing,Outbound,,
DL00533,AC0039,A041,2026-08-26,,Negotiation,24000,SMB,,Paid Search,,
DL00534,AC0132,A043,2025-10-08,2025-12-28,Closed Lost,20000,SMB,Missing Feature,Referral,,
DL00535,AC0001,A039,2025-10-03,2025-10-27,Closed Won,96000,Enterprise,,Inbound,True,
DL00536,AC0122,A040,2026-01-05,2026-02-28,Closed Lost,83000,Enterprise,Procurement,Inbound,,
DL00537,AC0007,A047,2025-11-14,2025-12-04,Closed Won,162000,Enterprise,,Inbound,True,
DL00538,AC0069,A053,2026-07-09,,Discovery,25000,Mid-Market,,Outbound,,
DL00539,AC0007,A051,2026-02-19,,Qualified,171000,Enterprise,,Partner,,
DL00540,AC0150,A054,2026-01-06,2026-02-20,Closed Won,16000,SMB,,Inbound,True,
DL00541,AC0114,A042,2026-03-03,2026-04-14,Closed Won,57000,Mid-Market,,Partner,True,
DL00542,AC0065,A042,2026-08-04,,Qualified,18000,SMB,,Inbound,,
DL00543,AC0150,A040,2025-09-20,,Negotiation,145000,Enterprise,,Partner,,
DL00544,AC0147,A050,2026-03-04,2026-04-02,Closed Won,15000,SMB,,Paid Search,True,
DL00545,AC0018,A044,2025-11-30,,Discovery,25000,SMB,,Outbound,,
DL00546,AC0012,A049,2025-10-15,2025-12-03,Closed Lost,45000,Mid-Market,Timing,Paid Search,,
DL00547,AC0137,A056,2025-12-30,2026-02-21,Closed Won,25000,SMB,,Inbound,True,
DL00548,AC0070,A041,2026-01-25,2026-02-22,Closed Lost,89000,Enterprise,Timing,Partner,,
DL00549,AC0025,A047,2026-02-19,2026-03-24,Closed Won,24000,SMB,,Referral,True,
DL00550,AC0130,A039,2026-02-04,2026-03-05,Closed Lost,41000,Mid-Market,Competitor,Inbound,,
DL00551,AC0141,A048,2026-08-18,2026-09-18,Closed Won,14000,SMB,,Inbound,True,
DL00552,AC0081,A048,2025-10-22,2025-11-15,Closed Won,83000,Enterprise,,Paid Search,True,
DL00553,AC0122,A044,2026-02-26,2026-05-22,Closed Lost,77000,Enterprise,Unqualified,Paid Search,,
DL00554,AC0031,A051,2026-01-06,,Proposal,53000,Mid-Market,,Referral,,
DL00555,AC0139,A048,2025-11-08,,Negotiation,20000,SMB,,Referral,,
DL00556,AC0062,A044,2026-03-02,,Discovery,59000,Mid-Market,,Outbound,,
DL00557,AC0080,A055,2026-02-17,,Discovery,25000,Mid-Market,,Inbound,,
DL00558,AC0119,A041,2025-12-02,2026-01-04,Closed Lost,21000,SMB,Competitor,Inbound,,
DL00559,AC0016,A052,2026-01-08,,Proposal,39000,Mid-Market,,Referral,,
DL00560,AC0010,A050,2026-07-02,,Discovery,18000,SMB,,Inbound,,
DL00561,AC0088,A049,2026-06-28,2026-07-16,Closed Lost,107000,Enterprise,Unqualified,Outbound,,
DL00562,AC0013,A041,2025-12-07,2026-01-04,Closed Won,56000,Mid-Market,,Partner,True,
DL00563,AC0087,A052,2026-06-26,2026-09-05,Closed Lost,32000,Mid-Market,Missing Feature,Paid Search,,
DL00564,AC0069,A042,2025-12-31,,Discovery,182000,Enterprise,,Outbound,,
DL00565,AC0072,A046,2026-04-25,,Negotiation,23000,SMB,,Partner,,
