account_id,company_name,industry,region,plan,arr_eur,seats_purchased,active_users_30d,weekly_logins_30d,onboarding_completion_pct,feature_adoption_pct,support_tickets_90d,unresolved_tickets,csat,nps,days_since_csm_contact,account_age_months,days_to_renewal,expanded_before,churned
FD-1227,Customer 227,E-commerce,UK & Ireland,Starter,3300,8,3,3,72,65,7,1,3.9,16,16,31,22,No,No
FD-1228,Customer 228,Media,Southern Europe,Growth,7600,23,12,43,86,58,3,0,5.0,77,21,25,205,Yes,No
FD-1229,Customer 229,Healthcare,Southern Europe,Business,25600,82,82,109,79,100,4,1,5.0,98,26,5,135,Yes,No
FD-1230,Customer 230,Technology,Southern Europe,Starter,4000,5,2,4,98,80,3,0,3.3,17,35,6,7,Yes,No
FD-1231,Customer 231,Professional Services,UK & Ireland,Starter,3500,6,4,11,72,84,2,0,3.9,36,28,33,336,Yes,No
FD-1232,Customer 232,Travel,Benelux,Growth,7500,25,9,10,54,48,4,2,3.3,49,28,25,11,No,No
FD-1233,Customer 233,Travel,DACH,Enterprise,49700,115,50,63,57,46,3,1,4.5,16,39,10,313,No,Yes
FD-1234,Customer 234,Travel,Benelux,Growth,9800,27,16,52,72,69,6,2,4.1,89,30,11,285,No,Yes
FD-1235,Customer 235,E-commerce,Nordics,Enterprise,47500,117,101,124,60,72,2,0,3.7,89,54,49,291,No,No
FD-1236,Customer 236,E-commerce,DACH,Business,29700,40,12,30,89,27,5,1,4.2,-12,30,45,63,No,Yes
FD-1237,Customer 237,Media,Southern Europe,Growth,8600,18,12,25,74,64,2,0,3.9,38,78,38,323,Yes,No
FD-1238,Customer 238,Technology,UK & Ireland,Business,23100,56,37,64,100,68,7,0,5.0,52,14,51,221,No,No
FD-1239,Customer 239,Travel,Benelux,Starter,3700,6,4,6,51,63,6,2,4.2,42,24,7,150,Yes,Yes
FD-1240,Customer 240,Healthcare,DACH,Starter,3700,6,2,7,86,50,4,1,4.5,46,19,42,250,No,No
FD-1241,Customer 241,Healthcare,Southern Europe,Business,18000,78,48,194,62,56,2,0,2.6,26,35,46,128,No,No
FD-1242,Customer 242,Fintech,UK & Ireland,Business,19900,51,24,35,73,64,1,0,4.1,43,14,14,105,Yes,Yes
FD-1243,Customer 243,Travel,Southern Europe,Starter,4900,7,5,20,85,70,6,0,5.0,48,9,34,109,Yes,No
FD-1244,Customer 244,Media,Southern Europe,Growth,7200,15,14,41,40,81,2,0,4.7,57,16,47,210,Yes,No
FD-1245,Customer 245,Technology,DACH,Growth,10600,21,19,58,86,92,1,0,3.2,34,10,38,221,Yes,No
FD-1246,Customer 246,Fintech,CEE,Business,26200,48,27,88,100,62,6,0,4.1,19,27,17,91,Yes,No
FD-1247,Customer 247,Travel,DACH,Growth,9400,26,15,49,74,58,5,1,3.4,-8,34,41,93,Yes,No
FD-1248,Customer 248,Technology,DACH,Growth,10100,18,6,22,87,78,3,1,5.0,100,8,47,346,No,No
FD-1249,Customer 249,Media,Nordics,Growth,12400,31,25,64,100,81,4,0,4.4,39,23,3,190,Yes,No
FD-1250,Customer 250,Professional Services,DACH,Growth,12900,32,17,46,79,58,5,0,3.7,32,59,35,315,No,No
FD-1251,Customer 251,Fintech,Southern Europe,Business,22400,40,32,65,72,85,1,0,4.2,39,70,32,124,Yes,No
FD-1252,Customer 252,Travel,Benelux,Business,23400,41,40,53,41,90,10,2,2.4,15,50,24,108,Yes,Yes
FD-1253,Customer 253,Fintech,UK & Ireland,Growth,8800,16,14,44,94,96,3,0,3.6,72,3,5,107,Yes,No
FD-1254,Customer 254,Technology,Nordics,Starter,3900,9,7,8,80,100,3,0,4.2,61,32,7,195,No,No
FD-1255,Customer 255,Technology,UK & Ireland,Starter,4400,6,3,6,64,49,7,1,4.5,22,64,46,286,No,No
FD-1256,Customer 256,Media,UK & Ireland,Business,21800,77,50,65,84,68,3,1,3.0,-12,22,50,185,Yes,No
FD-1257,Customer 257,Travel,UK & Ireland,Business,23600,73,48,77,71,68,6,1,3.8,29,12,27,111,Yes,No
FD-1258,Customer 258,E-commerce,UK & Ireland,Starter,5000,11,7,21,72,66,2,0,4.7,55,61,57,351,Yes,No
FD-1259,Customer 259,Travel,Southern Europe,Starter,2800,8,5,15,93,54,4,0,3.4,-10,66,56,211,No,No
FD-1260,Customer 260,Fintech,CEE,Growth,10300,34,9,21,58,35,6,2,4.0,61,30,41,147,No,No
FD-1261,Customer 261,Technology,CEE,Starter,4500,5,3,4,100,70,4,0,4.3,27,12,36,8,No,No
FD-1262,Customer 262,Fintech,UK & Ireland,Business,20500,55,33,79,57,51,3,0,5.0,100,7,58,207,No,No
FD-1263,Customer 263,Travel,CEE,Growth,7500,20,9,19,70,70,3,1,3.9,81,38,38,229,No,Yes
FD-1264,Customer 264,Professional Services,Nordics,Starter,3000,12,6,20,100,51,4,0,4.2,43,19,57,340,No,No
FD-1265,Customer 265,Travel,Nordics,Enterprise,83600,163,61,174,100,44,3,0,4.7,70,29,59,88,No,No
FD-1266,Customer 266,Healthcare,Benelux,Starter,2700,11,7,18,84,73,1,0,3.5,3,27,14,63,No,No
FD-1267,Customer 267,E-commerce,Southern Europe,Growth,8500,17,10,26,65,71,5,1,3.9,54,16,41,365,Yes,No
FD-1268,Customer 268,Healthcare,DACH,Starter,2800,12,9,37,72,81,3,0,3.9,30,7,45,203,No,No
FD-1269,Customer 269,E-commerce,Nordics,Starter,3000,8,8,27,83,100,3,0,4.1,22,22,50,14,Yes,No
FD-1270,Customer 270,Technology,Benelux,Starter,4300,8,4,10,83,74,2,0,4.6,52,33,23,43,Yes,No
FD-1271,Customer 271,Travel,Benelux,Starter,3300,12,7,18,80,79,3,0,4.5,45,34,52,176,Yes,No
FD-1272,Customer 272,E-commerce,DACH,Starter,4100,7,2,2,81,44,7,2,3.6,26,18,31,227,No,Yes
FD-1273,Customer 273,Fintech,CEE,Starter,4200,8,4,16,78,40,4,2,4.1,66,65,25,92,Yes,No
FD-1274,Customer 274,Media,DACH,Growth,12900,25,22,44,56,100,2,0,4.9,48,13,12,137,Yes,No
FD-1275,Customer 275,Technology,Benelux,Business,18100,42,19,35,73,48,2,0,3.7,74,56,21,270,No,Yes
FD-1276,Customer 276,Media,DACH,Growth,12900,20,8,34,98,45,4,0,4.3,21,33,59,354,No,No
FD-1277,Customer 277,E-commerce,UK & Ireland,Growth,11400,18,9,30,57,67,6,4,3.6,69,22,44,182,No,Yes
FD-1278,Customer 278,Fintech,CEE,Growth,8300,16,10,12,79,66,7,2,4.0,21,41,45,154,Yes,No
FD-1279,Customer 279,Fintech,Nordics,Business,31000,78,52,62,67,48,7,0,3.2,23,26,54,135,No,Yes
FD-1280,Customer 280,Media,DACH,Business,32400,64,47,51,84,61,3,0,5.0,57,9,18,54,No,No
FD-1281,Customer 281,Professional Services,UK & Ireland,Starter,3300,7,5,15,75,95,1,0,3.7,28,12,41,24,Yes,No
FD-1282,Customer 282,Technology,UK & Ireland,Starter,5000,8,4,5,100,50,3,0,4.8,81,24,24,306,No,No
FD-1283,Customer 283,E-commerce,DACH,Starter,3800,8,2,8,91,37,7,0,3.9,73,20,52,18,No,Yes
FD-1284,Customer 284,Technology,CEE,Starter,4200,9,5,20,58,89,3,1,3.6,59,55,27,301,No,No
FD-1285,Customer 285,Professional Services,DACH,Growth,13800,32,29,80,94,79,3,0,4.9,57,19,52,94,No,Yes
FD-1286,Customer 286,Healthcare,UK & Ireland,Growth,9600,32,20,59,68,54,2,0,4.7,65,18,46,255,No,No
FD-1287,Customer 287,Media,CEE,Starter,4700,8,3,6,72,33,6,1,4.2,31,17,47,348,Yes,No
FD-1288,Customer 288,Healthcare,CEE,Growth,9300,20,9,11,88,52,6,0,4.6,36,16,56,275,No,No
FD-1289,Customer 289,E-commerce,DACH,Growth,12600,23,14,47,73,67,2,0,4.0,18,16,48,268,No,No
FD-1290,Customer 290,Media,Nordics,Starter,4200,9,9,12,98,94,2,0,4.2,38,10,21,100,Yes,No
FD-1291,Customer 291,E-commerce,Nordics,Business,21600,58,27,34,68,45,3,1,3.7,41,33,33,220,No,Yes
FD-1292,Customer 292,Professional Services,Nordics,Starter,3700,9,5,10,71,66,1,0,4.6,16,27,30,236,Yes,No
FD-1293,Customer 293,Media,DACH,Enterprise,58300,160,87,90,70,83,3,1,3.7,34,26,6,158,No,No
FD-1294,Customer 294,Fintech,Benelux,Starter,2900,7,1,2,72,16,5,1,4.9,99,8,37,18,No,No
FD-1295,Customer 295,E-commerce,CEE,Business,18500,52,52,170,100,91,5,0,4.1,70,39,28,334,Yes,No
FD-1296,Customer 296,Healthcare,Benelux,Enterprise,59600,138,43,153,93,42,8,0,4.2,35,42,25,76,Yes,No
FD-1297,Customer 297,Media,CEE,Enterprise,45800,102,81,238,100,75,4,0,4.7,30,76,9,356,Yes,No
FD-1298,Customer 298,Professional Services,UK & Ireland,Business,20800,43,32,119,100,73,1,0,4.3,61,40,32,341,No,No
FD-1299,Customer 299,Technology,Nordics,Business,30200,71,71,163,63,92,1,0,3.9,-10,85,36,11,No,No
FD-1300,Customer 300,Fintech,CEE,Business,29900,55,49,182,83,80,1,0,4.2,72,18,9,271,No,No
FD-1301,Customer 301,Technology,Nordics,Business,30400,46,6,16,61,16,4,0,4.6,53,78,39,233,Yes,No
FD-1302,Customer 302,Healthcare,CEE,Starter,3500,9,3,5,68,51,8,1,3.7,76,41,12,88,No,No
FD-1303,Customer 303,Fintech,Southern Europe,Growth,13200,29,18,72,71,71,4,1,4.0,5,38,11,298,No,No
FD-1304,Customer 304,Professional Services,CEE,Growth,11200,19,13,24,63,64,1,0,4.1,66,26,26,45,No,No
FD-1305,Customer 305,Healthcare,CEE,Business,20100,76,51,55,63,79,3,1,4.5,53,22,25,94,No,No
FD-1306,Customer 306,E-commerce,Nordics,Growth,8200,32,22,39,79,85,4,0,4.1,38,19,56,347,Yes,No
FD-1307,Customer 307,E-commerce,Benelux,Growth,11900,26,13,28,60,81,1,0,5.0,38,80,6,273,Yes,Yes
FD-1308,Customer 308,Professional Services,Nordics,Business,20900,68,54,115,97,63,6,0,4.2,61,25,23,45,No,No
FD-1309,Customer 309,Healthcare,DACH,Starter,4000,5,1,3,65,27,8,3,3.7,50,41,45,57,No,Yes
FD-1310,Customer 310,Travel,Nordics,Starter,5200,12,8,31,100,58,4,1,4.1,85,47,17,97,Yes,No
FD-1311,Customer 311,Healthcare,CEE,Growth,7200,22,19,37,74,77,4,0,3.4,50,47,59,30,No,No
FD-1312,Customer 312,Professional Services,UK & Ireland,Growth,7300,32,15,40,83,44,4,0,3.6,20,34,46,70,No,No
FD-1313,Customer 313,Media,DACH,Starter,5200,9,7,15,59,82,6,1,3.7,13,77,57,211,No,No
FD-1314,Customer 314,Technology,Southern Europe,Growth,11100,14,11,40,100,88,2,0,4.9,35,39,58,7,Yes,No
FD-1315,Customer 315,E-commerce,Southern Europe,Growth,8100,15,9,14,100,71,2,0,4.2,80,18,9,108,No,No
FD-1316,Customer 316,Technology,Nordics,Growth,13200,27,2,3,87,5,7,0,3.9,23,23,29,118,No,No
FD-1317,Customer 317,Media,Southern Europe,Growth,13100,25,11,29,58,40,4,3,4.5,88,8,46,355,No,Yes
FD-1318,Customer 318,Technology,Nordics,Business,27000,37,32,101,86,100,2,0,5.0,80,36,3,356,Yes,No
FD-1319,Customer 319,Fintech,UK & Ireland,Growth,11400,29,17,60,62,56,4,1,4.7,68,44,29,310,Yes,No
FD-1320,Customer 320,Professional Services,DACH,Enterprise,56500,198,36,104,100,24,5,1,3.7,29,46,42,128,No,Yes
FD-1321,Customer 321,Professional Services,Benelux,Enterprise,47100,153,153,532,97,95,3,0,4.0,58,41,48,195,Yes,No
FD-1322,Customer 322,Healthcare,Southern Europe,Growth,11200,23,13,29,84,68,4,1,5.0,68,26,27,187,Yes,No
FD-1323,Customer 323,Media,Benelux,Growth,9200,14,13,14,38,92,3,0,4.1,37,29,53,315,No,No
FD-1324,Customer 324,Technology,Nordics,Growth,11700,29,25,34,64,74,4,2,3.8,53,29,42,274,No,No
FD-1325,Customer 325,Professional Services,DACH,Business,32000,52,41,46,94,78,3,0,4.6,55,55,5,332,No,Yes
FD-1326,Customer 326,E-commerce,Southern Europe,Business,18300,79,58,119,100,76,3,0,4.8,45,5,19,203,Yes,No
FD-1327,Customer 327,Travel,CEE,Business,28000,54,43,111,100,83,4,0,3.9,54,21,57,336,Yes,No
FD-1328,Customer 328,Technology,CEE,Growth,8800,25,23,49,53,100,3,0,4.2,47,13,3,273,No,No
FD-1329,Customer 329,Professional Services,UK & Ireland,Business,32700,49,37,103,87,89,3,0,4.7,71,97,9,271,Yes,No
FD-1330,Customer 330,E-commerce,Benelux,Growth,8900,17,5,13,100,33,7,1,3.5,21,63,22,243,No,No
FD-1331,Customer 331,E-commerce,Southern Europe,Business,28300,74,70,222,52,78,4,1,4.0,16,22,60,126,Yes,No
FD-1332,Customer 332,Technology,UK & Ireland,Starter,4100,8,7,22,82,93,2,1,3.5,69,9,43,224,Yes,No
FD-1333,Customer 333,Fintech,Nordics,Business,24700,62,47,95,87,94,5,0,3.7,70,12,11,133,Yes,No
FD-1334,Customer 334,Healthcare,UK & Ireland,Business,29400,83,42,89,77,59,5,1,3.8,57,55,25,239,Yes,No
FD-1335,Customer 335,Professional Services,DACH,Starter,4500,12,12,34,49,94,3,0,4.3,42,8,57,96,Yes,No
FD-1336,Customer 336,Healthcare,Benelux,Growth,11000,31,29,84,76,88,3,0,4.0,36,30,15,293,No,No
FD-1337,Customer 337,Technology,Benelux,Starter,4600,6,6,12,76,100,5,2,3.6,63,49,36,211,Yes,No
FD-1338,Customer 338,Media,Southern Europe,Business,34500,65,30,62,79,51,4,0,4.2,40,11,29,261,Yes,No
FD-1339,Customer 339,Professional Services,Benelux,Starter,3800,11,7,23,72,57,3,0,3.5,17,29,47,85,No,No
FD-1340,Customer 340,Professional Services,CEE,Enterprise,66600,138,70,215,74,61,8,1,4.3,92,22,46,290,Yes,No
FD-1341,Customer 341,Professional Services,Southern Europe,Starter,2700,5,3,4,81,57,4,0,4.8,62,20,51,294,No,Yes
FD-1342,Customer 342,Travel,DACH,Enterprise,78400,193,104,251,90,48,4,0,4.2,87,17,9,57,No,No
FD-1343,Customer 343,Fintech,Nordics,Business,26700,59,5,19,77,7,5,1,4.0,12,52,29,131,Yes,No
FD-1344,Customer 344,Healthcare,UK & Ireland,Growth,9900,25,11,12,75,58,3,1,4.3,62,71,43,249,Yes,No
FD-1345,Customer 345,Professional Services,CEE,Business,19600,84,51,191,84,76,0,0,3.1,66,24,27,320,No,No
FD-1346,Customer 346,Technology,Southern Europe,Business,32900,65,36,55,47,57,3,2,4.2,49,38,41,271,No,Yes
FD-1347,Customer 347,Technology,Benelux,Enterprise,61600,144,144,378,91,100,2,0,5.0,62,30,39,175,Yes,No
FD-1348,Customer 348,Fintech,Benelux,Starter,4400,7,3,7,82,68,5,0,4.1,20,6,24,113,Yes,Yes
FD-1349,Customer 349,E-commerce,Southern Europe,Growth,8200,22,21,22,83,96,4,0,4.1,69,24,8,333,No,No
FD-1350,Customer 350,Media,CEE,Starter,5100,6,3,12,99,74,2,0,4.7,44,5,59,320,Yes,No
FD-1351,Customer 351,Media,Benelux,Growth,8400,30,22,54,47,86,2,0,4.9,63,21,50,328,No,No
FD-1352,Customer 352,E-commerce,CEE,Starter,3200,11,7,28,46,74,2,1,4.5,28,29,54,115,No,No
FD-1353,Customer 353,Fintech,UK & Ireland,Growth,13000,19,16,31,87,98,4,0,3.0,52,47,20,162,No,No
FD-1354,Customer 354,E-commerce,Southern Europe,Growth,13300,20,12,45,82,69,3,1,4.4,78,35,21,93,No,Yes
FD-1355,Customer 355,Healthcare,CEE,Growth,8600,31,23,91,85,79,4,1,5.0,67,53,21,349,Yes,No
FD-1356,Customer 356,Healthcare,Benelux,Growth,10400,14,9,25,74,76,1,1,4.4,28,15,4,318,No,No
FD-1357,Customer 357,Healthcare,Southern Europe,Business,30300,61,26,43,94,62,5,0,3.6,67,65,12,67,No,Yes
FD-1358,Customer 358,Technology,UK & Ireland,Business,32800,58,49,156,99,77,3,1,4.3,42,71,20,94,Yes,No
FD-1359,Customer 359,E-commerce,DACH,Growth,9700,27,27,74,91,100,4,0,3.5,6,5,60,204,Yes,No
FD-1360,Customer 360,Travel,Nordics,Growth,10700,17,12,48,77,62,8,0,4.8,24,7,14,154,No,No
FD-1361,Customer 361,E-commerce,Nordics,Enterprise,76200,175,91,219,44,77,1,0,3.5,16,28,32,171,No,No
FD-1362,Customer 362,Professional Services,CEE,Starter,4500,7,7,13,96,96,0,0,4.3,18,19,34,137,No,No
FD-1363,Customer 363,Professional Services,UK & Ireland,Starter,4700,9,9,13,100,93,1,0,3.8,24,22,23,248,Yes,No
FD-1364,Customer 364,Technology,Southern Europe,Starter,4100,5,3,10,94,68,5,0,3.9,57,35,56,329,Yes,Yes
FD-1365,Customer 365,Media,DACH,Business,19800,58,9,37,66,16,6,0,4.9,57,54,8,336,No,Yes
FD-1366,Customer 366,Technology,CEE,Growth,13300,24,18,20,94,79,2,0,4.3,58,15,53,169,No,No
FD-1367,Customer 367,Healthcare,UK & Ireland,Business,32500,46,11,37,97,19,5,0,3.9,25,60,46,303,No,No
FD-1368,Customer 368,E-commerce,DACH,Business,31400,42,42,167,100,100,4,0,3.6,34,17,20,255,Yes,No
FD-1369,Customer 369,Technology,DACH,Growth,7900,18,8,10,66,72,6,2,2.9,58,105,47,76,No,Yes
FD-1370,Customer 370,Travel,UK & Ireland,Enterprise,53600,134,134,181,78,90,1,0,3.5,23,66,27,291,Yes,No
FD-1371,Customer 371,Media,Nordics,Business,30500,40,15,48,95,48,3,0,4.3,59,18,59,131,Yes,No
FD-1372,Customer 372,Media,Nordics,Growth,7400,33,13,40,83,34,5,1,4.6,24,10,5,231,No,No
FD-1373,Customer 373,Travel,Nordics,Growth,13800,22,18,22,62,74,3,0,3.8,71,18,4,265,Yes,No
FD-1374,Customer 374,Travel,CEE,Growth,9700,30,15,55,89,67,5,0,5.0,58,16,34,345,Yes,No
FD-1375,Customer 375,Healthcare,Southern Europe,Starter,4500,12,7,19,92,57,4,0,3.8,61,43,57,347,No,No
FD-1376,Customer 376,Fintech,DACH,Starter,4900,5,3,12,84,70,2,0,4.1,43,5,6,294,No,No
FD-1377,Customer 377,Healthcare,Southern Europe,Enterprise,61600,173,173,600,86,100,5,0,3.6,46,7,48,187,Yes,No
FD-1378,Customer 378,Fintech,Benelux,Growth,9300,31,26,94,77,86,3,1,4.6,73,42,57,149,No,No
FD-1379,Customer 379,Professional Services,Nordics,Growth,11300,26,26,69,100,91,7,0,5.0,58,16,31,164,Yes,No
FD-1380,Customer 380,E-commerce,DACH,Business,27800,56,47,85,66,87,0,0,3.1,45,21,53,348,No,No
FD-1381,Customer 381,Fintech,Benelux,Growth,9900,22,20,52,71,100,3,0,3.9,24,49,46,79,No,Yes
FD-1382,Customer 382,Technology,Benelux,Enterprise,70300,95,70,93,82,64,4,0,4.9,83,56,15,194,No,No
FD-1383,Customer 383,Media,DACH,Business,33700,62,15,47,98,23,7,0,3.4,19,64,52,250,No,Yes
FD-1384,Customer 384,Travel,Nordics,Growth,10300,33,23,33,55,64,3,1,4.3,58,47,43,13,Yes,No
FD-1385,Customer 385,E-commerce,Nordics,Growth,8500,33,24,63,58,86,4,1,4.7,50,25,3,234,No,No
FD-1386,Customer 386,Fintech,DACH,Enterprise,60800,96,34,40,45,47,2,1,4.0,44,24,35,98,No,No
FD-1387,Customer 387,Media,UK & Ireland,Business,24600,70,38,74,83,64,5,0,4.5,32,22,40,106,Yes,No
FD-1388,Customer 388,Fintech,Benelux,Enterprise,50500,129,57,99,62,53,5,1,5.0,73,11,49,229,Yes,No
FD-1389,Customer 389,Healthcare,Nordics,Starter,3100,11,11,33,75,100,0,0,5.0,69,14,47,8,Yes,No
FD-1390,Customer 390,Fintech,Benelux,Business,29500,37,35,123,94,84,4,0,4.2,36,59,30,61,No,No
FD-1391,Customer 391,Professional Services,Southern Europe,Business,23700,82,62,73,70,82,6,0,3.8,37,17,20,169,Yes,No
FD-1392,Customer 392,Media,Nordics,Starter,5100,11,11,41,86,82,2,0,3.7,38,11,14,215,No,No
FD-1393,Customer 393,Professional Services,CEE,Growth,8800,16,13,49,77,67,2,0,4.7,47,62,8,44,Yes,No
FD-1394,Customer 394,Professional Services,DACH,Business,19700,38,27,57,94,72,1,0,3.5,28,34,40,135,No,No
FD-1395,Customer 395,Healthcare,Nordics,Starter,4600,11,4,12,91,42,5,0,4.1,23,81,58,116,No,No
FD-1396,Customer 396,Healthcare,UK & Ireland,Growth,13100,17,4,9,70,20,6,0,4.2,100,76,7,197,No,Yes
FD-1397,Customer 397,Travel,UK & Ireland,Business,22700,62,41,61,79,71,4,1,3.8,61,12,43,113,Yes,No
FD-1398,Customer 398,Healthcare,CEE,Growth,8600,32,23,62,100,75,4,0,4.4,59,27,36,5,No,Yes
FD-1399,Customer 399,Technology,UK & Ireland,Growth,8400,25,21,27,89,95,1,0,5.0,94,13,12,196,No,No
FD-1400,Customer 400,Media,Nordics,Growth,10700,22,17,65,57,100,1,1,3.9,-3,13,15,311,Yes,No
FD-1401,Customer 401,E-commerce,Nordics,Growth,10300,23,16,63,94,100,4,0,4.0,-13,21,19,216,Yes,No
FD-1402,Customer 402,Technology,Benelux,Enterprise,55900,98,48,174,62,46,2,0,4.7,52,44,42,135,Yes,Yes
FD-1403,Customer 403,Healthcare,Nordics,Business,18800,83,40,112,100,60,2,0,4.4,23,44,20,179,No,No
FD-1404,Customer 404,Professional Services,Benelux,Starter,3900,7,7,19,100,79,5,2,4.9,60,41,51,55,Yes,No
FD-1405,Customer 405,E-commerce,CEE,Enterprise,85300,114,86,357,87,100,6,2,4.1,50,25,24,90,Yes,No
FD-1406,Customer 406,Fintech,Benelux,Business,29000,49,35,63,85,100,2,0,4.1,66,46,9,163,Yes,Yes
FD-1407,Customer 407,Technology,Benelux,Growth,10500,33,32,40,78,93,2,0,3.2,-2,11,8,218,Yes,Yes
FD-1408,Customer 408,Media,UK & Ireland,Business,19900,40,29,81,94,59,3,0,3.3,34,34,26,180,No,No
FD-1409,Customer 409,Fintech,DACH,Starter,3300,11,5,10,75,49,2,0,3.1,21,30,26,352,No,No
FD-1410,Customer 410,Travel,Southern Europe,Enterprise,57400,180,161,327,86,85,4,0,4.4,61,24,45,235,Yes,No
FD-1411,Customer 411,Fintech,Nordics,Business,30800,76,21,21,98,44,3,0,3.5,19,35,30,13,No,No
FD-1412,Customer 412,Healthcare,Benelux,Business,32700,84,44,128,72,63,2,0,4.8,93,4,12,194,No,No
FD-1413,Customer 413,Media,Benelux,Starter,5000,11,5,9,71,65,3,1,4.1,43,14,15,215,No,No
FD-1414,Customer 414,Professional Services,UK & Ireland,Enterprise,86400,209,127,203,61,100,2,0,4.0,82,42,35,20,No,No
FD-1415,Customer 415,Travel,DACH,Starter,5200,6,3,3,63,60,2,1,3.5,13,29,22,143,No,No
FD-1416,Customer 416,Professional Services,UK & Ireland,Starter,5100,10,1,2,49,14,5,1,4.3,67,8,41,319,No,No
FD-1417,Customer 417,Travel,Nordics,Starter,2900,9,5,19,95,79,5,0,3.8,37,29,56,133,No,No
FD-1418,Customer 418,Healthcare,Nordics,Business,20300,62,28,58,100,53,3,0,3.7,28,20,23,169,Yes,No
FD-1419,Customer 419,Fintech,UK & Ireland,Starter,3500,11,6,19,100,69,2,1,4.8,77,60,35,84,Yes,No
FD-1420,Customer 420,Professional Services,CEE,Enterprise,68200,213,144,493,53,66,3,1,4.2,41,12,51,32,No,No
FD-1421,Customer 421,Fintech,DACH,Business,19600,70,44,90,95,62,4,0,4.1,-13,12,15,119,Yes,No
FD-1422,Customer 422,Fintech,Nordics,Starter,4800,8,8,29,100,85,2,0,4.6,-9,38,32,283,No,No
FD-1423,Customer 423,Travel,Benelux,Starter,4300,8,3,10,74,34,7,3,3.9,68,26,20,359,Yes,Yes
FD-1424,Customer 424,Media,UK & Ireland,Starter,4100,7,5,14,84,57,4,1,4.3,78,25,39,243,No,No
FD-1425,Customer 425,Fintech,CEE,Growth,8300,21,17,17,46,83,3,1,3.5,72,106,46,304,No,Yes
FD-1426,Customer 426,E-commerce,CEE,Business,22300,55,30,33,87,54,9,0,5.0,68,45,11,239,Yes,No
FD-1427,Customer 427,E-commerce,CEE,Starter,3100,5,2,8,63,33,7,2,3.6,5,23,13,242,Yes,No
FD-1428,Customer 428,E-commerce,UK & Ireland,Business,32300,39,32,112,86,83,3,1,5.0,59,7,4,159,Yes,No
FD-1429,Customer 429,Technology,Southern Europe,Starter,4200,10,8,32,54,93,3,2,3.8,38,22,3,27,No,No
FD-1430,Customer 430,Technology,DACH,Business,30400,57,34,132,92,67,6,1,4.6,36,11,5,153,No,No
FD-1431,Customer 431,Media,Southern Europe,Enterprise,57400,208,42,45,100,25,5,0,4.7,97,14,43,317,No,No
FD-1432,Customer 432,Professional Services,CEE,Business,24200,66,57,201,68,84,2,0,4.8,100,15,55,198,Yes,No
FD-1433,Customer 433,E-commerce,Benelux,Business,24800,37,11,27,62,31,4,1,3.5,41,56,26,280,No,No
FD-1434,Customer 434,Healthcare,Benelux,Business,30800,43,27,95,43,75,3,0,4.6,58,9,54,23,Yes,No
FD-1435,Customer 435,Healthcare,Southern Europe,Starter,4600,6,2,2,77,48,3,0,5.0,40,53,45,77,No,No
FD-1436,Customer 436,E-commerce,CEE,Starter,3200,12,4,8,72,42,5,1,3.9,75,39,49,112,No,No
FD-1437,Customer 437,Media,CEE,Starter,5100,6,4,14,54,58,1,0,4.1,47,39,45,134,No,No
FD-1438,Customer 438,Professional Services,Benelux,Growth,8000,24,15,53,90,64,4,1,3.8,32,14,14,361,Yes,No
FD-1439,Customer 439,Fintech,Benelux,Business,33100,82,35,104,74,54,3,1,3.9,51,48,33,171,Yes,No
FD-1440,Customer 440,Technology,Nordics,Business,19700,84,75,147,63,81,1,1,5.0,55,12,33,244,No,No
FD-1441,Customer 441,Fintech,UK & Ireland,Business,22400,47,23,46,72,58,7,2,3.4,31,72,40,237,No,No
FD-1442,Customer 442,Technology,DACH,Starter,4800,5,3,12,100,90,3,0,3.7,4,57,49,156,No,No
FD-1443,Customer 443,Travel,Benelux,Business,21000,43,36,87,93,74,4,0,5.0,92,80,9,353,Yes,No
FD-1444,Customer 444,Healthcare,DACH,Starter,3700,5,2,5,80,53,4,1,4.4,51,30,42,85,No,No
FD-1445,Customer 445,Professional Services,DACH,Growth,10200,18,8,22,93,49,7,0,5.0,93,26,51,17,No,No
FD-1446,Customer 446,Healthcare,CEE,Business,22100,63,19,44,61,32,8,0,3.8,34,21,9,274,No,No
FD-1447,Customer 447,E-commerce,Southern Europe,Enterprise,74800,205,175,484,83,74,2,0,4.3,48,104,27,241,Yes,No
FD-1448,Customer 448,Fintech,CEE,Growth,12900,24,14,33,85,60,8,1,3.7,9,44,54,98,No,No
FD-1449,Customer 449,Professional Services,DACH,Starter,4900,9,1,4,74,16,4,1,4.1,62,11,4,318,No,No
FD-1450,Customer 450,Fintech,Southern Europe,Growth,9500,18,11,43,90,56,6,1,3.1,1,67,12,63,No,Yes
FD-1451,Customer 451,Technology,Southern Europe,Starter,4000,10,4,16,68,48,5,3,4.2,37,25,49,95,No,Yes
FD-1452,Customer 452,Professional Services,Southern Europe,Enterprise,55400,168,168,471,91,100,2,0,4.4,53,2,12,60,Yes,No
FD-1453,Customer 453,Healthcare,Southern Europe,Business,22100,78,23,56,92,31,6,0,4.2,51,16,43,72,Yes,No
FD-1454,Customer 454,Fintech,DACH,Starter,3100,12,2,7,29,36,6,4,3.4,-10,57,55,268,No,Yes
FD-1455,Customer 455,E-commerce,Benelux,Starter,5100,7,7,26,100,92,2,0,3.8,33,39,31,258,Yes,No
